country,year,gender,age,share_bottom50_inc,share_top10_pct_inc
ARG,1996,All genders,25-55,16.073278,39.210823
ARG,1997,All genders,25-55,15.84137,40.005764
ARG,1998,All genders,25-55,15.885144,40.351009
ARG,1999,All genders,25-55,15.673523,41.071686
ARG,2000,All genders,25-55,15.480958,41.610146
ARG,2001,All genders,25-55,15.525414,41.936974
ARG,2002,All genders,25-55,15.489906,43.320236
ARG,2003,All genders,25-55,16.652628,41.156349
ARG,2004,All genders,25-55,18.311455,38.35157
ARG,2005,All genders,25-55,19.53776,36.424911
ARG,2006,All genders,25-55,20.12343,34.854015
ARG,2007,All genders,25-55,20.325712,34.39653
ARG,2008,All genders,25-55,20.615862,33.851475
ARG,2009,All genders,25-55,20.711649,33.580017
ARG,2010,All genders,25-55,20.7449,33.130096
ARG,2011,All genders,25-55,20.775831,32.949345
ARG,2012,All genders,25-55,21.096561,31.969452
ARG,2013,All genders,25-55,20.8727,32.071026
ARG,2014,All genders,25-55,20.768814,31.97052
ARG,2015,All genders,25-55,20.648708,32.232258
BRA,1985,All genders,25-55,15.11506,41.17751
BRA,1986,All genders,25-55,14.91458,40.28073
BRA,1987,All genders,25-55,13.99799,42.6404
BRA,1988,All genders,25-55,13.52143,43.46809
BRA,1989,All genders,25-55,13.35401,43.84292
BRA,1990,All genders,25-55,13.02929,43.44666
BRA,1991,All genders,25-55,13.64767,42.98267
BRA,1992,All genders,25-55,13.79619,42.72373
BRA,1993,All genders,25-55,13.43317,44.1336
BRA,1994,All genders,25-55,13.23494,43.01183
BRA,1995,All genders,25-55,12.87593,43.82995
BRA,1996,All genders,25-55,13.42803,43.46186
BRA,1997,All genders,25-55,13.6261,43.61288
BRA,1998,All genders,25-55,13.78936,43.756
BRA,1999,All genders,25-55,13.96904,43.71258
BRA,2000,All genders,25-55,14.0103,44.06509
BRA,2001,All genders,25-55,13.97663,44.8729
BRA,2002,All genders,25-55,14.11203,44.8217
BRA,2003,All genders,25-55,14.58151,44.79871
BRA,2004,All genders,25-55,14.78617,44.61454
BRA,2005,All genders,25-55,15.11417,44.57832
BRA,2006,All genders,25-55,15.40707,44.34748
BRA,2007,All genders,25-55,15.73227,44.12177
BRA,2008,All genders,25-55,15.70231,44.05505
BRA,2009,All genders,25-55,16.02774,43.94166
BRA,2010,All genders,25-55,16.27382,43.50776
BRA,2011,All genders,25-55,16.53814,42.99873
BRA,2012,All genders,25-55,17.02964,42.00988
BRA,2013,All genders,25-55,17.23045,41.60028
BRA,2014,All genders,25-55,17.46171,41.2275
BRA,2015,All genders,25-55,17.63046,41.17473
BRA,2016,All genders,25-55,18.16684,40.39635
BRA,2017,All genders,25-55,18.3363,40.31767
BRA,2018,All genders,25-55,18.52056,40.19637
CAN,1983,All genders,25-55,23.621206,24.579117
CAN,1984,All genders,25-55,23.534908,24.678209
CAN,1985,All genders,25-55,23.405495,24.931322
CAN,1986,All genders,25-55,23.407246,24.905693
CAN,1987,All genders,25-55,23.309229,25.414148
CAN,1988,All genders,25-55,23.387915,26.020645
CAN,1989,All genders,25-55,23.418646,26.148443
CAN,1990,All genders,25-55,23.459339,25.805428
CAN,1991,All genders,25-55,22.98753,25.950502
CAN,1992,All genders,25-55,22.875921,25.822308
CAN,1993,All genders,25-55,22.762901,26.178324
CAN,1994,All genders,25-55,22.846998,26.332302
CAN,1995,All genders,25-55,22.879335,26.586073
CAN,1996,All genders,25-55,22.722527,27.09832
CAN,1997,All genders,25-55,22.583694,27.844526
CAN,1998,All genders,25-55,22.597765,28.310566
CAN,1999,All genders,25-55,22.626692,28.541016
CAN,2000,All genders,25-55,22.338646,29.4198
CAN,2001,All genders,25-55,22.318237,29.587168
CAN,2002,All genders,25-55,22.269093,29.17841
CAN,2003,All genders,25-55,22.214258,29.140778
CAN,2004,All genders,25-55,22.069313,29.507183
CAN,2005,All genders,25-55,21.902231,30.048157
CAN,2006,All genders,25-55,21.828627,30.486614
CAN,2007,All genders,25-55,21.912128,30.543264
CAN,2008,All genders,25-55,22.067009,30.008944
CAN,2009,All genders,25-55,22.067924,29.304501
CAN,2010,All genders,25-55,22.104015,29.380392
CAN,2011,All genders,25-55,22.117685,29.40947
CAN,2012,All genders,25-55,22.269833,29.147047
CAN,2013,All genders,25-55,22.199366,29.127138
CAN,2014,All genders,25-55,22.147581,29.306284
CAN,2015,All genders,25-55,22.18841,29.45138
CAN,2016,All genders,25-55,22.513067,28.599743
MEX,2005,All genders,25-55,13.837976,42.965469
MEX,2006,All genders,25-55,14.063582,42.648258
MEX,2007,All genders,25-55,14.084351,42.500153
MEX,2008,All genders,25-55,14.041474,42.397774
MEX,2009,All genders,25-55,13.901162,42.402409
MEX,2010,All genders,25-55,13.903849,42.435188
MEX,2011,All genders,25-55,13.855379,42.487263
MEX,2012,All genders,25-55,13.800348,42.563328
MEX,2013,All genders,25-55,13.712901,42.633137
MEX,2014,All genders,25-55,13.6718,42.621426
MEX,2015,All genders,25-55,13.748387,42.603889
MEX,2016,All genders,25-55,13.671583,42.75148
MEX,2017,All genders,25-55,13.908123,42.300507
MEX,2018,All genders,25-55,13.984252,42.236584
MEX,2019,All genders,25-55,14.639507,41.68578
USA,1998,All genders,25-55,19.84,33.99
USA,1999,All genders,25-55,19.83,34.27
USA,2000,All genders,25-55,19.6,35.04
USA,2001,All genders,25-55,19.81,34.16
USA,2002,All genders,25-55,19.85,33.63
USA,2003,All genders,25-55,19.68,33.74
USA,2004,All genders,25-55,19.51,34.27
USA,2005,All genders,25-55,19.34,34.8
USA,2006,All genders,25-55,19.12,35.33
USA,2007,All genders,25-55,18.93,35.75
USA,2008,All genders,25-55,19.06,35.31
USA,2009,All genders,25-55,19.03,34.76
USA,2010,All genders,25-55,18.85,35.36
USA,2011,All genders,25-55,18.65,35.78
USA,2012,All genders,25-55,18.51,36.27
USA,2013,All genders,25-55,18.63,35.79
USA,2014,All genders,25-55,18.54,36.11
USA,2015,All genders,25-55,18.6,36.11
USA,2016,All genders,25-55,18.76,35.89
USA,2017,All genders,25-55,18.8,35.99
USA,2018,All genders,25-55,18.93,35.92
USA,2019,All genders,25-55,19.04,35.87
